submission_num,submission_date,state,total_cases,confirmed_cases,probable_cases,new_case,probable_new_cases,consent_cases,consent_deaths,total_deaths,confirmed_deaths,probable_deaths,new_deaths,probable_new_deaths
26202,4/2/2021,OK,442860,349710,93150,249,55,Agree,Agree,7153,6084,1069,0,0
38573,10/25/2021,UT,542531,542531,0,3636,0,Agree,Agree,3149,3042,107,21,0
32746,7/20/2021,PW,2,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
23947,2/24/2021,CO,433449,407154,26295,1312,158,Agree,Agree,5917,5185,732,10,0
241,1/26/2020,AK,0,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,0,NULL
13820,9/8/2020,KS,46914,45352,1562,0,0,NULL,NULL,485,NULL,NULL,0,0
21023,1/6/2021,MA,404053,386052,18001,6851,432,Agree,Agree,13042,12768,274,85,0
20341,12/26/2020,AK,44394,NULL,NULL,188,0,NULL,NULL,271,NULL,NULL,1,0
20353,12/26/2020,GA,628788,540758,88030,4158,479,Agree,Agree,10685,9710,975,54,0
32660,7/19/2021,KS,324187,261013,63174,270,33,NULL,NULL,5198,NULL,NULL,1,0
19660,12/14/2020,NYC,371785,335885,35900,2785,583,Agree,Agree,24374,19674,4700,35,1
39820,11/15/2021,NYC,1138785,929150,209635,1216,592,Agree,Agree,34705,29532,5173,17,4
18544,11/26/2020,AS,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
3544,3/21/2020,AS,0,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,0,NULL
23355,2/14/2021,HI,26772,NULL,NULL,43,0,Not agree,Not agree,423,NULL,NULL,1,0
37700,10/11/2021,KS,419341,332240,87101,567,157,NULL,NULL,6142,NULL,NULL,7,1
37751,10/12/2021,FL,3611189,NULL,NULL,2587,888,Not agree,Not agree,59595,NULL,NULL,102,9
12904,8/24/2020,AS,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
9733,7/2/2020,GA,88233,86516,1717,3545,85,Agree,Agree,2849,2849,0,22,0
19366,12/9/2020,PW,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
14360,9/17/2020,KS,50870,48770,2100,0,0,NULL,NULL,586,NULL,NULL,0,0
32651,7/19/2021,FL,2438834,NULL,NULL,9235,2496,Not agree,Not agree,39096,NULL,NULL,65,3
11099,7/24/2020,WV,5695,5562,133,145,3,Agree,Not agree,103,NULL,NULL,0,0
15255,10/2/2020,HI,12699,NULL,NULL,133,0,Not agree,Not agree,142,NULL,NULL,3,0
26620,4/9/2021,NYC,884102,733885,150217,3612,850,Agree,Agree,31747,26733,5014,47,3
34935,8/26/2021,HI,56492,NULL,NULL,824,33,Not agree,Not agree,570,NULL,NULL,0,0
